"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_fervor_aa_Description"					"Troll Warlord learns about the weakness of his target with each attack, increasing his damage and attack speed. \nIf Troll changes targets, the stacks drop to zero"
		"DOTA_Tooltip_ability_fervor_aa_attack_speed"					"ATTACK SPEED:"
		"DOTA_Tooltip_ability_fervor_aa_damage"						    "DAMAGE:"
		"DOTA_Tooltip_ability_fervor_aa_duration"						"DURATION:"

		"DOTA_Tooltip_modifier_fervor_aa_effect"					"Fervor Stack"
		"DOTA_Tooltip_modifier_fervor_aa_effect_Description"		"Increase damage by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%% and attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%."


		"DOTA_Tooltip_ability_special_bonus_unique_hoodwink_acorn_shot_bounces_custom"			"+2 Acorn Shot Bounces"
		"DOTA_Tooltip_ability_special_bonus_unique_hoodwink_acorn_shot_charges_custom"			"2 Acorn Shot Charges"

		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua"						"Acorn Shot"
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_Description"			"The hero makes an extended range attack, charging a special acorn that bounces at nearby enemies. If there are no enemies, it will bounce into the nearest tree, and also slow down all victims and deal base damage to them, to which the hero's attack is added.\nCan be cast on a point to create a tree, after which the acorn will bounce into nearby enemies. If you turn on auto-cast, the ability will always be applied to a point."
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_Lore"					"Though she'll make do with almost anything, Oak and Ironwood acorns make the most effective projectiles -- and the bulk of Hoodwink's stash."
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_bonus_range"			"BONUS ATTACK RANGE:"
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_bounce_count"			"BOUNCE COUNT:"
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_debuff_duration"		"SLOW DURATION:"
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_slow"					"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_acorn_shot_damage"	"BONUS DAMAGE:"
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_Note0"				"The same target can be hit more than once."
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_Note1"				"Bounces will seek units in the fog of war in a 525 radius, but not invisible units."
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_Note2"				"The planted tree lasts for 20 seconds."
		"DOTA_Tooltip_ability_hoodwink_acorn_shot_lua_Note3"				"Acorn Shot benefits from attack range bonuses."

		"DOTA_Tooltip_modifier_hoodwink_acorn_shot_lua_debuff"				"Acorn Shot"
		"DOTA_Tooltip_modifier_hoodwink_acorn_shot_lua_debuff_Description"	"Move speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_shadow_fiend_presence_of_the_dark_lord"										"Presence of the Dark Lord"
		"DOTA_Tooltip_ability_shadow_fiend_presence_of_the_dark_lord_Description"							"Shadow Fiend's presence reduces the armor of nearby enemies. Every enemy hero killed nearby further improves armor reduction by %bonus_armor_per_stack% for %kill_buff_duration%s."
        "DOTA_Tooltip_ability_shadow_fiend_presence_of_the_dark_lord_shard_description"					"Lowers nearby enemy magic resistance by 14%%."
		"DOTA_Tooltip_ability_shadow_fiend_presence_of_the_dark_lord_Lore"									"Even being near Nevermore eats away at one's soul."
		"DOTA_Tooltip_ability_shadow_fiend_presence_of_the_dark_lord_Note0"								"Stacks fully with other armor reduction abilities and aura."
		"DOTA_Tooltip_ability_shadow_fiend_presence_of_the_dark_lord_presence_armor_reduction"				"BASE REDUCTION:"
		"DOTA_Tooltip_ability_shadow_fiend_presence_of_the_dark_lord_presence_armor_reduction_pct"				"%REDUCTION:"
		"DOTA_Tooltip_ability_shadow_fiend_presence_of_the_dark_lord_presence_radius"						"RADIUS:"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_presence_of_the_dark_lord"		"+{s:bonus_presence_armor_reduction_pct}% Presence armor reduction"
		
		
        "DOTA_Tooltip_Ability_item_sacred_butterfly"	"Sacred Butterfly"
		"DOTA_Tooltip_Ability_item_sacred_butterfly_Lore"	"Sword, once owned by Krydes, the Violator of Universal Equilibrium. Only the most agile heroes can steal something like this from him and escape unharmed."
		"DOTA_Tooltip_Ability_item_sacred_butterfly_bonus_agi"	"+$agi"
		"DOTA_Tooltip_Ability_item_sacred_butterfly_bonus_dmg"	"+$damage"
		"DOTA_Tooltip_Ability_item_sacred_butterfly_bonus_evasion"	"%+$evasion"
		"DOTA_Tooltip_Ability_item_sacred_butterfly_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_Ability_item_sacred_butterfly_bonus_mvspd_pct"	"%+$move_speed"
		
		"DOTA_Tooltip_Ability_item_burning_butterfly"	"Burning Butterfly"
		"DOTA_Tooltip_Ability_item_burning_butterfly_Lore"	"No one has ever seen the King of Beetle Krydes, but everyone knew he existed. This artifact was passed down from generation to generation by his followers, like the few remnants of an unrecognized genius."
		"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_agi"	"+$agi"
		"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_dmg"	"+$damage"
		"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_evasion"	"%+$evasion"
		"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_Ability_item_burning_butterfly_bonus_mvspd_pct"	"%+$move_speed"
		"DOTA_Tooltip_Ability_item_burning_butterfly_absorb_chance"	"%CHANCE OF ABSOLUTE EVADE:"
		
		"DOTA_Tooltip_Ability_item_boss_soul"	"Boss Soul"
		"DOTA_Tooltip_Ability_item_boss_soul_Description"	"Can only be obtained by killing any boss, and cannot be purchased in the store."
		"DOTA_Tooltip_Ability_item_boss_soul_lore"	"The soul of a great being can be a support for creating great artifacts."
		"DOTA_Tooltip_Ability_item_boss_soul_dummy"	"Boss Soul"
		"DOTA_Tooltip_Ability_item_boss_soul_dummy_Description"	"Can only be obtained by killing any boss, and cannot be purchased in the store."
		"DOTA_Tooltip_Ability_item_boss_soul_dummy_lore"	"The soul of a great being can be a support for creating great artifacts."
		
		"DOTA_Tooltip_Ability_item_snake_boots"	"Snake Boots"
		"DOTA_Tooltip_Ability_item_snake_boots_Description"	"<h1>Activatable: Warp Jump</h1> Allows you to teleport to an ally/ward after 1.5 seconds."
		"DOTA_Tooltip_Ability_item_snake_boots_bonus_speed"	"%+$move_speed"
		"DOTA_Tooltip_Ability_item_snake_boots_bonus_armor"	"+$armor"
		"DOTA_Tooltip_Ability_item_snake_boots_bonus_hp_regen"	"+$hp_regen"
		"DOTA_Tooltip_Ability_item_snake_boots_bonus_stats"	"+$all"
		"DOTA_Tooltip_modifier_snake_boots_teleport"	"Teleporting"
		
		"DOTA_Tooltip_Ability_item_manta_2"	"Manta Style 2"
		"DOTA_Tooltip_ability_item_manta_2_Description"	"<h1>Activated: Mirror Image</h1> Creates %images_count% mirror copies of your hero that exist for %tooltip_illusion_duration% sec. Ability cooldown depends on the owner's attack type: %cooldown_melee% sec. for melee heroes and %cooldown_ranged_tooltip% sec. for ranged heroes.\n\nMelee hero illusions deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while ranged hero illusions deal %tooltip_damage_outgoing_ranged%%% damage and take %tooltip_damage_incoming_ranged_total_pct%%% damage.\n\nBonuses to movement speed from multiple Yasha-based items do not stack."
		"DOTA_Tooltip_ability_item_manta_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_manta_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_manta_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_manta_2_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_manta_2_bonus_movement_speed"	"%+$move_speed"
		
		"DOTA_Tooltip_Ability_item_manta_3"	"Manta Style 3"
		"DOTA_Tooltip_ability_item_manta_3_Description"	"<h1>Activated: Mirror Image</h1> Creates %images_count% mirror copies of your hero that exist for %tooltip_illusion_duration% sec. Ability cooldown depends on the owner's attack type: %cooldown_melee% sec. for melee heroes and %cooldown_ranged_tooltip% sec. for ranged heroes.\n\nMelee hero illusions deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while ranged hero illusions deal %tooltip_damage_outgoing_ranged%%% damage and take %tooltip_damage_incoming_ranged_total_pct%%% damage.\n\nBonuses to movement speed from multiple Yasha-based items do not stack."
		"DOTA_Tooltip_ability_item_manta_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_manta_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_manta_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_manta_3_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_manta_3_bonus_movement_speed"	"%+$move_speed"
		
		"DOTA_Tooltip_Ability_item_greater_crit_2"	"Daedalus 2"
		"DOTA_Tooltip_ability_item_greater_crit_2_Description"	"<h1>Active: Crippling Shot</h1>Shoots a projectile in enemy up to %abilitycastrange% units away. Deals critical damage and sets target\'s movement to %cripple_ms% for %cripple_duration% seconds.\n\n<h1>Passive: Critical Strike</h1> Each attack has a %crit_chance%%% chance to deal %crit_multiplier%%%"
		"DOTA_Tooltip_ability_item_greater_crit_2_bonus_damage"	"+$damage"
		
		"DOTA_Tooltip_Ability_item_power_treads_2"	"Power Treads 2"
		"DOTA_Tooltip_ability_item_power_treads_2_Description"	"<h1>Activatable: Switch Attribute</h1> Changes the value of the selected parameter between strength, agility, and intelligence.\n\nPower Treads can be assembled using Belt of Strength, Band of Elvenskin, or Robe of the Magi. The movement speed bonuses from multiple pairs of boots do not stack. The attack speed bonuses from multiple Power Treads do not stack."
		"DOTA_Tooltip_ability_item_power_treads_2_Lore"	"A pair of boots made of tough leather that can change its properties at the owner's will."
		"DOTA_Tooltip_ability_item_power_treads_2_bonus_movement_speed_ranged"	"+ to movement speed in ranged combat"
		"DOTA_Tooltip_ability_item_power_treads_2_bonus_movement_speed_melee"	"+ to movement speed in close combat"
		"DOTA_Tooltip_ability_item_power_treads_2_bonus_stat"	"+$selected_attrib"
		"DOTA_Tooltip_ability_item_power_treads_2_bonus_attack_speed"	"+$attack"
		
		"DOTA_Tooltip_Ability_item_power_treads_3"	"Power Treads 3"
		"DOTA_Tooltip_ability_item_power_treads_3_Description"	"<h1>Activatable: Switch Attribute</h1> Changes the value of the selected parameter between strength, agility, and intelligence.\n\nPower Treads can be assembled using Belt of Strength, Band of Elvenskin, or Robe of the Magi. The movement speed bonuses from multiple pairs of boots do not stack. The attack speed bonuses from multiple Power Treads do not stack."
		"DOTA_Tooltip_ability_item_power_treads_3_Lore"	"A pair of boots made of tough leather that can change its properties at the owner's will."
		"DOTA_Tooltip_ability_item_power_treads_3_bonus_movement_speed_ranged"	"+ to movement speed in ranged combat"
		"DOTA_Tooltip_ability_item_power_treads_3_bonus_movement_speed_melee"	"+ to movement speed in close combat"
		"DOTA_Tooltip_ability_item_power_treads_3_bonus_stat"	"+$selected_attrib"
		"DOTA_Tooltip_ability_item_power_treads_3_bonus_attack_speed"	"+$attack"
		
		"DOTA_Tooltip_ability_item_skadi_2"	"EYE OF SKADI 2"
		"DOTA_Tooltip_ability_item_skadi_2_Description"	"<h1>Passive: Cold Attack</h1> Each attack for %cold_duration% sec. slows down the movement and attack of the target, as well as reduces its healing, health regeneration, vampirism, and vampirism abilities by %heal_reduction%%%. The slowdown depends on the type of attack of the victim: for ranged creatures, it slows down movement by %cold_slow_ranged%%%, and attack by %cold_slow_ranged%. For melee creatures, it slows down movement by %cold_slow_melee%%%, and attack by %cold_slow_melee%."
		"DOTA_Tooltip_ability_item_skadi_2_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_skadi_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_skadi_2_bonus_mana"	"+$mana"
		"DOTA_Tooltip_modifier_item_skadi_2_slow"	"Cold Attack from Eye of Skadi"
		"DOTA_Tooltip_modifier_item_skadi_2_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_ability_item_skadi_3"	"EYE OF SKADI 3"
		"DOTA_Tooltip_ability_item_skadi_3_Description"	"<h1>Passive: Cold Attack</h1> Each attack for %cold_duration% sec. slows down the movement and attack of the target, as well as reduces its healing, health regeneration, vampirism, and vampirism abilities by %heal_reduction%%%. The slowdown depends on the type of attack of the victim: for ranged creatures, it slows down movement by %cold_slow_ranged%%%, and attack by %cold_slow_ranged%. For melee creatures, it slows down movement by %cold_slow_melee%%%, and attack by %cold_slow_melee%."
		"DOTA_Tooltip_ability_item_skadi_3_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_skadi_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_skadi_3_bonus_mana"	"+$mana"
		"DOTA_Tooltip_modifier_item_skadi_3_slow"	"Cold Attack from Eye of Skadi"
		"DOTA_Tooltip_modifier_item_skadi_3_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_ability_item_satanic_2"	"SATANIC 2"
		"DOTA_Tooltip_ability_item_satanic_2_Description"	"<h1>Active: Unholy Rage</h1> Increases lifesteal effect to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% sec. \n\n<h1>Passive: Lifesteal</h1> Grants the owner's attacks with vampirism, allowing them to restore health based on a fraction of the damage dealt."
		"DOTA_Tooltip_ability_item_satanic_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_satanic_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_satanic_2_lifesteal_percent"	"%+$lifesteal"
		"DOTA_Tooltip_modifier_item_satanic_2_unholy"	"Unholy Rage"
		"DOTA_Tooltip_modifier_item_satanic_2_unholy_Description"	"Vampirism increased by %dMODIFIER_PROPERTY_TOOLTIP%%%"
		
		"DOTA_Tooltip_ability_item_satanic_3"	"SATANIC 3"
		"DOTA_Tooltip_ability_item_satanic_3_Description"	"<h1>Active: Unholy Rage</h1> Increases lifesteal effect to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% sec. \n\n<h1>Passive: Lifesteal</h1> Grants the owner's attacks with vampirism, allowing them to restore health based on a fraction of the damage dealt."
		"DOTA_Tooltip_ability_item_satanic_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_satanic_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_satanic_3_lifesteal_percent"	"%+$lifesteal"
		"DOTA_Tooltip_modifier_item_satanic_3_unholy"	"Unholy Rage"
		"DOTA_Tooltip_modifier_item_satanic_3_unholy_Description"	"Vampirism increased by %dMODIFIER_PROPERTY_TOOLTIP%%%"
		
		"DOTA_Tooltip_ability_item_mask_of_madness_2"	"MASK OF MADNESS 2"
		"DOTA_Tooltip_ability_item_mask_of_madness_2_Description"	"<h1>Active: Berserk</h1> Grants the owner %berserk_bonus_attack_speed% attack speed and %berserk_bonus_movement_speed% movement speed, but reduces their armor by %berserk_armor_reduction% and prevents them from using abilities. Lasts %berserk_duration% sec. <cf><lf><cf><lf><h1>Passive: Lifesteal</h1> Gives the owner's attacks vampirism, causing them to restore health based on a fraction of the damage dealt."
		"DOTA_Tooltip_ability_item_mask_of_madness_2_Lore"	"Wearing this mask, the warrior falls into uncontrollable rage."
		"DOTA_Tooltip_ability_item_mask_of_madness_2_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_mask_of_madness_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_mask_of_madness_2_lifesteal_percent"	"%+$lifesteal"
		"DOTA_Tooltip_modifier_item_mask_of_madness_2_berserk"	"Berserk"
		"DOTA_Tooltip_modifier_item_mask_of_madness_2_berserk_Description"	"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%, but the hero is silenced and has %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% less armor."
		
		"DOTA_Tooltip_ability_item_mask_of_madness_3"	"MASK OF MADNESS 3"
		"DOTA_Tooltip_ability_item_mask_of_madness_3_Description"	"<h1>Active: Berserk</h1> Grants the owner %berserk_bonus_attack_speed% attack speed and %berserk_bonus_movement_speed% movement speed, but reduces their armor by %berserk_armor_reduction% and prevents them from using abilities. Lasts %berserk_duration% sec. <cf><lf><cf><lf><h1>Passive: Lifesteal</h1> Gives the owner's attacks vampirism, causing them to restore health based on a fraction of the damage dealt."
		"DOTA_Tooltip_ability_item_mask_of_madness_3_Lore"	"Wearing this mask, the warrior falls into uncontrollable rage."
		"DOTA_Tooltip_ability_item_mask_of_madness_3_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_mask_of_madness_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_mask_of_madness_3_lifesteal_percent"	"%+$lifesteal"
		"DOTA_Tooltip_modifier_item_mask_of_madness_3_berserk"	"Berserk"
		"DOTA_Tooltip_modifier_item_mask_of_madness_3_berserk_Description"	"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%, but the hero is silenced and has %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% less armor."
		
		"DOTA_Tooltip_ability_item_monkey_king_bar_2"	"MONKEY KING BAR 2"
		"DOTA_Tooltip_ability_item_monkey_king_bar_2_Description"	"<h1>Passive: Pierce</h1> Each attack has a %bonus_chance%%% chance to bypass evasion and deal %bonus_chance_damage% additional magic damage."
		"DOTA_Tooltip_ability_item_monkey_king_bar_2_Lore"	"Powerful staff, belonging to a brilliant warrior."
		"DOTA_Tooltip_ability_item_monkey_king_bar_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_monkey_king_bar_2_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_monkey_king_bar_3"	"MONKEY KING BAR 3"
		"DOTA_Tooltip_ability_item_monkey_king_bar_3_Description"	"<h1>Passive: Pierce</h1> Each attack has a %bonus_chance%%% chance to bypass evasion and deal %bonus_chance_damage% additional magic damage."
		"DOTA_Tooltip_ability_item_monkey_king_bar_3_Lore"	"Powerful staff, belonging to a brilliant warrior."
		"DOTA_Tooltip_ability_item_monkey_king_bar_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_monkey_king_bar_3_bonus_attack_speed"	"+$attack"
		
		"DOTA_Tooltip_ability_item_meteor_hammer_2"	"METEOR HAMMER 2"
		"DOTA_Tooltip_ability_item_meteor_hammer_2_Description"	"<h1>Active: Meteor Hammer</h1> INTERRUPTIBLE - summons a meteor that strikes an area with a radius of %impact_radius% after a short delay. The impact deals damage to enemy units and buildings, stunning them for %stun_duration% sec and igniting them, causing periodic damage over %burn_duration% sec. It also slows down ignited units by %burn_slow%%%.<BR><BR>Damage to buildings on impact: %impact_damage_buildings% <BR>Periodic damage to buildings: %burn_dps_buildings% <BR><BR>Damage to units on impact: %impact_damage_units% <BR>Periodic damage to units: %burn_dps_units% <BR><BR>Cast Time: %max_duration% sec.<BR>Delay after cast: %land_time% sec."
		"DOTA_Tooltip_ability_item_meteor_hammer_2_lore"	"This enchanted hammer was forged from metal found in the ruins of a village destroyed by a great meteor shower."
		"DOTA_Tooltip_ability_item_meteor_hammer_2_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_meteor_hammer_2_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_meteor_hammer_2_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_modifier_item_meteor_hammer_burn_2"	"Burning from Meteor Hammer"
		"DOTA_Tooltip_modifier_item_meteor_hammer_burn_2_Description"	"The creature is slowed. Receives %dMODIFIER_PROPERTY_TOOLTIP% damage every %dMODIFIER_PROPERTY_TOOLTIP2% seconds."
		
		"DOTA_Tooltip_ability_item_meteor_hammer_3"	"METEOR HAMMER 3"
		"DOTA_Tooltip_ability_item_meteor_hammer_3_Description"	"<h1>Active: Meteor Hammer</h1> INTERRUPTIBLE - summons a meteor that strikes an area with a radius of %impact_radius% after a short delay. The impact deals damage to enemy units and buildings, stunning them for %stun_duration% sec and igniting them, causing periodic damage over %burn_duration% sec. It also slows down ignited units by %burn_slow%%%.<BR><BR>Damage to buildings on impact: %impact_damage_buildings% <BR>Periodic damage to buildings: %burn_dps_buildings% <BR><BR>Damage to units on impact: %impact_damage_units% <BR>Periodic damage to units: %burn_dps_units% <BR><BR>Cast Time: %max_duration% sec.<BR>Delay after cast: %land_time% sec."
		"DOTA_Tooltip_ability_item_meteor_hammer_3_lore"	"This enchanted hammer was forged from metal found in the ruins of a village destroyed by a great meteor shower."
		"DOTA_Tooltip_ability_item_meteor_hammer_3_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_meteor_hammer_3_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_meteor_hammer_3_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_modifier_item_meteor_hammer_burn_3"	"Burning from Meteor Hammer"
		"DOTA_Tooltip_modifier_item_meteor_hammer_burn_3_Description"	"The creature is slowed. Receives %dMODIFIER_PROPERTY_TOOLTIP% damage every %dMODIFIER_PROPERTY_TOOLTIP2% seconds."
		
		"DOTA_Tooltip_ability_item_armlet_2"	"ARMLET OF MORDIGGAIN 2"
		"DOTA_Tooltip_ability_item_armlet_2_Description"	"<h1>Toggle: Unholy Strength</h1>If enabled, increases damage by %unholy_bonus_damage%, strength by %unholy_bonus_strength%, and armor by %unholy_bonus_armor%, but drains %unholy_health_drain_per_second% health per second.<br><br>You cannot die from health loss due to the ability or from the strength bonus decrease after disabling it."
		"DOTA_Tooltip_ability_item_armlet_2_Lore"	"This weapon, hotly loved by savages, takes away the life force of its owner, in return endowing him with boundless strength and power."
		"DOTA_Tooltip_ability_item_armlet_2_Note0"	"The change in power affects both the current and maximum health levels, but it cannot cause death."
		"DOTA_Tooltip_ability_item_armlet_2_Note1"	"The change in power occurs after 0.6 seconds."
		"DOTA_Tooltip_ability_item_armlet_2_Note2"	"Turning on and off Unholy Strength does not stop interruptible spells."
		"DOTA_Tooltip_ability_item_armlet_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_armlet_2_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_armlet_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_armlet_2_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_modifier_item_armlet_2_unholy_strength"	"Unholy Strength 2"
		"DOTA_Tooltip_modifier_item_armlet_2_unholy_strength_Description"	"Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.\n"
		
		"DOTA_Tooltip_ability_item_armlet_3"	"ARMLET OF MORDIGGAIN 3"
		"DOTA_Tooltip_ability_item_armlet_3_Description"	"<h1>Toggle: Unholy Strength</h1>If enabled, increases damage by %unholy_bonus_damage%, strength by %unholy_bonus_strength%, and armor by %unholy_bonus_armor%, but drains %unholy_health_drain_per_second% health per second.<br><br>You cannot die from health loss due to the ability or from the strength bonus decrease after disabling it."
		"DOTA_Tooltip_ability_item_armlet_3_Lore"	"This weapon, hotly loved by savages, takes away the life force of its owner, in return endowing him with boundless strength and power."
		"DOTA_Tooltip_ability_item_armlet_3_Note0"	"The change in power affects both the current and maximum health levels, but it cannot cause death."
		"DOTA_Tooltip_ability_item_armlet_3_Note1"	"The change in power occurs after 0.6 seconds."
		"DOTA_Tooltip_ability_item_armlet_3_Note2"	"Turning on and off Unholy Strength does not stop interruptible spells."
		"DOTA_Tooltip_ability_item_armlet_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_armlet_3_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_armlet_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_armlet_3_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_modifier_item_armlet_3_unholy_strength"	"Unholy Strength 3"
		"DOTA_Tooltip_modifier_item_armlet_3_unholy_strength_Description"	"Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%.\n"
		
		"DOTA_Tooltip_ability_item_desolator_3"	"DESOLATOR 2"
		"DOTA_Tooltip_ability_item_desolator_3_Description"	"<h1>Passive: Corruption</h1> Attacks reduce the target's armor by %corruption_armor%. Effect lasts for %corruption_duration% sec.\n\n<h1>Passive: Soul Stealer</h1> When a hero dies, whose armor was reduced by this item, bonus damage is increased by %bonus_damage_per_kill%. Maximum: %max_damage% damage."
		"DOTA_Tooltip_ability_item_desolator_3_Lore"	"This unclean weapon was used to torture political criminals."
		"DOTA_Tooltip_ability_item_desolator_3_Note0"	"Armor reduction affects buildings."
		"DOTA_Tooltip_ability_item_desolator_3_bonus_damage"	"+$damage"
		
		"DOTA_Tooltip_modifier_desolator_3_buff"	"Desolator 2"
		"DOTA_Tooltip_modifier_desolator_3_buff_Description"	"Attack with Desolator reduced the armor of this creature by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		
		"DOTA_Tooltip_ability_item_desolator_4"	"DESOLATOR 3"
		"DOTA_Tooltip_ability_item_desolator_4_Description"	"<h1>Passive: Corruption</h1> Attacks reduce the target's armor by %corruption_armor%. Effect lasts for %corruption_duration% sec.\n\n<h1>Passive: Soul Stealer</h1> When a hero dies, whose armor was reduced by this item, bonus damage is increased by %bonus_damage_per_kill%. Maximum: %max_damage% damage."
		"DOTA_Tooltip_ability_item_desolator_4_Lore"	"This unclean weapon was used to torture political criminals."
		"DOTA_Tooltip_ability_item_desolator_4_Note0"	"Armor reduction affects buildings."
		"DOTA_Tooltip_ability_item_desolator_4_bonus_damage"	"+$damage"
		"DOTA_Tooltip_modifier_desolator_4_buff"	"Desolator 3"
		"DOTA_Tooltip_modifier_desolator_4_buff_Description"	"Attack with Desolator reduced the armor of this creature by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		
		"DOTA_Tooltip_ability_item_assault_2"	"ASSAULT CUIRASS 2"
		"DOTA_Tooltip_ability_item_assault_2_Description"	"<h1>Passive: Assault Aura</h1> Increases the armor of allied buildings and units by %aura_positive_armor%, and their attack speed by %aura_attack_speed%. Decreases the armor of enemies by %aura_negative_armor%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_assault_2_Lore"	"This terrifying armor, forged in the depths of the forges, is capable of strengthening and speeding up an entire army."
		"DOTA_Tooltip_ability_item_assault_2_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_assault_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_modifier_item_assault_2_negative_armor"	"Assault Cuirass 2"
		"DOTA_Tooltip_modifier_item_assault_2_negative_armor_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
		"DOTA_Tooltip_modifier_item_assault_2_positive"	"Assault Cuirass 2"
